stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,platform_code,tts_stop_name
N19-T1,Mountlake Terrace,47.785448,-122.314761,,Mountlake Terrace to Lynnwood,N19,https://www.soundtransit.org/ride-with-us/stops-stations/mountlake-terrace-station,,N19,1.0,America/Los_Angeles,1.0,
N19-T2,Mountlake Terrace,47.784548,-122.314801,,Mountlake Terrace to Federal Way,N19,https://www.soundtransit.org/ride-with-us/stops-stations/mountlake-terrace-station,,N19,1.0,America/Los_Angeles,2.0,
N23-T1,Lynnwood City Center,47.815876,-122.294275,,Lynnwood from Federal Way,N23,https://www.soundtransit.org/ride-with-us/stops-stations/lynnwood-city-center-station,,N23,1.0,America/Los_Angeles,1.0,
N23-T2,Lynnwood City Center,47.815403,-122.295185,,Lynnwood to Federal Way,N23,https://www.soundtransit.org/ride-with-us/stops-stations/lynnwood-city-center-station,,N23,1.0,America/Los_Angeles,2.0,
S03-T1,Kent Des Moines,47.389904,-122.294272,,Kent Des Moines to Lynnwood,S03,https://www.soundtransit.org/ride-with-us/stops-stations/kent-des-moines-station,,S03,1.0,America/Los_Angeles,1.0,
S03-T2,Kent Des Moines,47.389185,-122.294524,,Kent Des Moines to Federal Way,S03,https://www.soundtransit.org/ride-with-us/stops-stations/kent-des-moines-station,,S03,1.0,America/Los_Angeles,2.0,
S05-T1,Star Lake,47.359625,-122.297205,,Star Lake to Lynnwood,S05,https://www.soundtransit.org/ride-with-us/stops-stations/star-lake-station,,S05,1.0,America/Los_Angeles,1.0,
S05-T2,Star Lake,47.359011,-122.297634,,Star Lake to Federal Way,S05,https://www.soundtransit.org/ride-with-us/stops-stations/star-lake-station,,S05,1.0,America/Los_Angeles,2.0,
S07-T1,Federal Way Downtown,47.316208,-122.303587,,Federal Way Downtown to/from Lynnwood,S07,https://www.soundtransit.org/ride-with-us/stops-stations/federal-way-downtown-station,,S07,1.0,America/Los_Angeles,1.0,
S07-T2,Federal Way Downtown,47.316241,-122.303689,,Federal Way Downtown to/from Lynnwood,S07,https://www.soundtransit.org/ride-with-us/stops-stations/federal-way-downtown-station,,S07,1.0,America/Los_Angeles,2.0,
T01,Tacoma Dome,47.239868,-122.428118,,Tacoma Dome to/from St Joseph,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/tacoma-dome-station,,,1.0,America/Los_Angeles,,
T03,S 25Th,47.239081,-122.434202,,S 25th to Tacoma Dome/St Joseph,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/s-25th-station,,,1.0,America/Los_Angeles,,south twenty fifth
T05-T1,Union Station,47.244915,-122.436616,,Union Station to St Joseph,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/union-station,,T05,1.0,America/Los_Angeles,1.0,
T05-T2,Union Station,47.24477,-122.436628,,Union Station to Tacoma Dome,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/union-station,,T05,1.0,America/Los_Angeles,2.0,
T07-T1,Convention Center,47.249514,-122.4385,,Convention Center to St Joseph,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/convention-center-station,,T07,1.0,America/Los_Angeles,1.0,
T07-T2,Convention Center,47.249493,-122.438656,,Convention Center to Tacoma Dome,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/convention-center-station,,T07,1.0,America/Los_Angeles,2.0,
T09-T1,Theater District,47.253016,-122.439266,,Theater District to St Joseph,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/theater-district-station,,T09,1.0,America/Los_Angeles,1.0,
T09-T2,Theater District,47.252651,-122.439308,,Theater District to Tacoma Dome,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/theater-district-station,,T09,1.0,America/Los_Angeles,2.0,
T13-T1,Old City Hall,47.2578,-122.440413,,Old City Hall to St Joseph,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/old-city-hall-station,,T13,1.0,America/Los_Angeles,1.0,
