shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
1-SHUTTLE-A-NB,13390,47.52983,-122.28056,10885.21
1-SHUTTLE-A-NB,13391,47.52996,-122.28056,10899.67
1-SHUTTLE-A-NB,13392,47.53084,-122.28057,10997.52
1-SHUTTLE-A-NB,13393,47.53103,-122.28057,11018.65
1-SHUTTLE-A-NB,13394,47.53143,-122.28058,11063.13
1-SHUTTLE-A-NB,13395,47.53154,-122.28058,11075.36
1-SHUTTLE-A-NB,13396,47.53166,-122.28058,11088.71
1-SHUTTLE-A-NB,13397,47.53194,-122.28059,11119.85
1-SHUTTLE-A-NB,13398,47.53217,-122.2806,11145.44
1-SHUTTLE-A-NB,13399,47.53252,-122.2806,11184.35
1-SHUTTLE-A-NB,13400,47.53275,-122.28061,11209.94
1-SHUTTLE-A-NB,13401,47.53293,-122.28061,11229.96
1-SHUTTLE-A-NB,13402,47.53338,-122.28063,11280.02
1-SHUTTLE-A-NB,13403,47.53347,-122.28063,11290.02
1-SHUTTLE-A-NB,13404,47.53367,-122.28064,11312.28
1-SHUTTLE-A-NB,13405,47.53407,-122.28064,11356.75
1-SHUTTLE-A-NB,13406,47.53441,-122.28064,11394.56
1-SHUTTLE-A-NB,13407,47.5347,-122.28065,11426.81
1-SHUTTLE-A-NB,13408,47.53482,-122.28065,11440.16
1-SHUTTLE-A-NB,13409,47.53488,-122.28065,11446.83
1-SHUTTLE-A-NB,13410,47.53509,-122.28065,11470.18
1-SHUTTLE-A-NB,13411,47.53516,-122.28065,11477.96
1-SHUTTLE-A-NB,13412,47.53529,-122.28065,11492.42
1-SHUTTLE-A-NB,13413,47.53542,-122.28065,11506.87
1-SHUTTLE-A-NB,13414,47.53556,-122.28065,11522.44
1-SHUTTLE-A-NB,13415,47.53568,-122.28065,11535.79
1-SHUTTLE-A-NB,13416,47.53579,-122.28065,11548.02
1-SHUTTLE-A-NB,13417,47.53591,-122.28066,11561.38
1-SHUTTLE-A-NB,13418,47.53593,-122.28066,11563.61
1-SHUTTLE-A-NB,13419,47.53602,-122.28066,11573.61
1-SHUTTLE-A-NB,13420,47.53604,-122.28066,11575.84
1-SHUTTLE-A-NB,13421,47.53611,-122.28067,11583.66
1-SHUTTLE-A-NB,13422,47.5362,-122.28068,11593.69
1-SHUTTLE-A-NB,13423,47.53629,-122.28069,11603.73
1-SHUTTLE-A-NB,13424,47.53638,-122.28071,11613.85
1-SHUTTLE-A-NB,13425,47.53646,-122.28074,11623.02
1-SHUTTLE-A-NB,13426,47.53655,-122.28076,11633.14
1-SHUTTLE-A-NB,13427,47.53663,-122.28079,11642.32
1-SHUTTLE-A-NB,13428,47.53693,-122.2809,11676.68
1-SHUTTLE-A-NB,13429,47.53705,-122.28095,11690.55
1-SHUTTLE-A-NB,13430,47.53724,-122.28102,11712.32
1-SHUTTLE-A-NB,13431,47.53737,-122.28109,11727.7
1-SHUTTLE-A-NB,13432,47.53802,-122.28141,11803.86
1-SHUTTLE-A-NB,13433,47.53839,-122.2816,11847.41
1-SHUTTLE-A-NB,13434,47.53846,-122.28163,11855.51
1-SHUTTLE-A-NB,13435,47.53877,-122.28179,11892.01
1-SHUTTLE-A-NB,13436,47.5389,-122.28186,11907.39
1-SHUTTLE-A-NB,13437,47.53898,-122.28191,11917.05
1-SHUTTLE-A-NB,13438,47.53901,-122.28192,11920.47
1-SHUTTLE-A-NB,13439,47.53916,-122.282,11938.19
1-SHUTTLE-A-NB,13440,47.53944,-122.28216,11971.57
1-SHUTTLE-A-NB,13441,47.53945,-122.28217,11972.91
1-SHUTTLE-A-NB,13442,47.54062,-122.28281,12111.59
1-SHUTTLE-A-NB,13443,47.54068,-122.28285,12118.91
1-SHUTTLE-A-NB,13444,47.54077,-122.2829,12129.6
1-SHUTTLE-A-NB,13445,47.54234,-122.28362,12312.35
1-SHUTTLE-A-NB,13446,47.54247,-122.28369,12327.73
